# 房地产,,,,# 绿电 / 电力,,,# 房地产,,,# 光学光电子
,,,,,,,,,,
---,,,,# 大消费,,,---,,,
,,,,,,,,,,---
# 鸡肉养殖,,,,### 零售,,,# 鸡肉养殖,,,
,,,,,,,,,,# 超硬材料
| 公司   | 股票代码   |,,,,| 公司   | 股票代码   |,,,| 公司   | 股票代码   |,,,
| ---- | ------ |,,,,| ---- | ------ |,,,| ---- | ------ |,,,| 公司   | 股票代码   |
| 晓鸣股份 | 300967 |,,,,| 中央商场 | 600280 |,,,| 晓鸣股份 | 300967 |,,,| ---- | ------ |
| 京基智农 | 000048 |,,,,| 宁波中百 | 600857 |,,,| 京基智农 | 000048 |,,,| 楚江新材 | 002171 |
| 民和股份 | 002234 |,,,,,,,| 民和股份 | 002234 |,,,| 国机精工 | 002046 |
| 益生股份 | 002458 |,,,,### 食品饮料,,,| 益生股份 | 002458 |,,,| 惠丰钻石 | 839725 |
| 湘佳股份 | 002982 |,,,,,,,| 湘佳股份 | 002982 |,,,| 力量钻石 | 301071 |
,,,,| 公司   | 股票代码   |,,,,,,| 四方达  | 300179 |
---,,,,| ---- | ------ |,,,---,,,| 博云新材 | 002297 |
,,,,| 一致魔芋 | 839273 |,,,,,,| 恒盛能源 | 605580 |
# 生猪养殖,,,,| 酒鬼酒  | 000799 |,,,# 生猪养殖,,,
,,,,| 金徽酒  | 603919 |,,,,,,---
| 公司   | 股票代码   |,,,,| 欢乐家  | 300997 |,,,| 公司   | 股票代码   |,,,
| ---- | ------ |,,,,,,,| ---- | ------ |,,,# 培育钻石
| 京基智农 | 000048 |,,,,### 纺织服装,,,| 京基智农 | 000048 |,,,
| 天域生物 | 603717 |,,,,,,,| 天域生物 | 603717 |,,,| 公司   | 股票代码   |
| 天邦食品 | 002124 |,,,,| 公司   | 股票代码   |,,,| 天邦食品 | 002124 |,,,| ---- | ------ |
| 巨星农牧 | 603477 |,,,,| ---- | ------ |,,,| 巨星农牧 | 603477 |,,,| 楚江新材 | 002171 |
| 罗牛山  | 000735 |,,,,| 嘉欣丝绸 | 002404 |,,,| 罗牛山  | 000735 |,,,| 惠丰钻石 | 839725 |
| 东瑞股份 | 001201 |,,,,,,,| 东瑞股份 | 001201 |,,,| 国机精工 | 002046 |
,,,,---,,,,,,| 力量钻石 | 301071 |
---,,,,,,,---,,,| 恒盛能源 | 605580 |
,,,,# 元件（PCB、电子元器件）,,,,,,| 博云新材 | 002297 |
# 电网设备,,,,,,,# 电网设备,,,| 四方达  | 300179 |
,,,,| 公司   | 股票代码   |,,,,,,
| 公司   | 股票代码   |,,,,| ---- | ------ |,,,| 公司   | 股票代码   |,,,---
| ---- | ------ |,,,,| 风华高科 | 000636 |,,,| ---- | ------ |,,,
| 顺钠股份 | 000533 |,,,,| 兴森科技 | 002436 |,,,| 顺钠股份 | 000533 |,,,# 电池
| 聚星科技 | 920111 |,,,,| 江海股份 | 002484 |,,,| 聚星科技 | 920111 |,,,
| 思源电气 | 002028 |,,,,| 中京电子 | 002579 |,,,| 思源电气 | 002028 |,,,| 公司   | 股票代码   |
| 白云电器 | 603861 |,,,,| 达利凯普 | 301566 |,,,| 白云电器 | 603861 |,,,| ---- | ------ |
| 金盘科技 | 688676 |,,,,| 宝鼎科技 | 002552 |,,,| 金盘科技 | 688676 |,,,| 湘潭电化 | 002125 |
| 特变电工 | 600089 |,,,,| 鹏鼎控股 | 002938 |,,,| 特变电工 | 600089 |,,,| 杭可科技 | 688006 |
,,,,| 东山精密 | 002384 |,,,,,,| 豪鹏科技 | 001283 |
---,,,,| 顺络电子 | 002138 |,,,---,,,| 德新科技 | 603032 |
,,,,| 三环集团 | 300408 |,,,,,,| 诺德股份 | 600110 |
# AI应用,,,,| 骏亚科技 | 603386 |,,,# AI应用,,,| 铜冠铜箔 | 301217 |
,,,,| 威尔高  | 301251 |,,,,,,
| 公司   | 股票代码   |,,,,| 生益电子 | 688183 |,,,| 公司   | 股票代码   |,,,---
| ---- | ------ |,,,,| 麦捷科技 | 300319 |,,,| ---- | ------ |,,,
| 视觉中国 | 000681 |,,,,,,,| 视觉中国 | 000681 |,,,# 国家大基金持股
| 税友股份 | 603171 |,,,,---,,,| 税友股份 | 603171 |,,,
| 掌阅科技 | 603533 |,,,,,,,| 掌阅科技 | 603533 |,,,| 公司   | 股票代码   |
| 星环科技 | 688031 |,,,,# 液冷服务器,,,| 星环科技 | 688031 |,,,| ---- | ------ |
| 实丰文化 | 002862 |,,,,,,,| 实丰文化 | 002862 |,,,| 通富微电 | 002156 |
| 易点天下 | 301171 |,,,,| 公司   | 股票代码   |,,,| 易点天下 | 301171 |,,,| 佰维存储 | 688525 |
| 鼎捷数智 | 300378 |,,,,| ---- | ------ |,,,| 鼎捷数智 | 300378 |,,,| 江波龙  | 301308 |
| 汉得信息 | 300170 |,,,,| 阿莱德  | 301419 |,,,| 汉得信息 | 300170 |,,,| 长川科技 | 300604 |
,,,,| 博杰股份 | 002975 |,,,,,,| 华虹公司 | 688347 |
---,,,,| 意华股份 | 002897 |,,,---,,,| 芯原股份 | 688521 |
,,,,| 科瑞技术 | 002957 |,,,,,,
# AI PC,,,,| 川环科技 | 300547 |,,,# AI PC,,,---
,,,,| 鼎通科技 | 688668 |,,,,,,
| 公司   | 股票代码   |,,,,| 思泉新材 | 301489 |,,,| 公司   | 股票代码   |,,,# 先进封装
| ---- | ------ |,,,,,,,| ---- | ------ |,,,
| 春秋电子 | 603890 |,,,,---,,,| 春秋电子 | 603890 |,,,| 公司   | 股票代码   |
| 英力股份 | 300956 |,,,,,,,| 英力股份 | 300956 |,,,| ---- | ------ |
| 胜利精密 | 002426 |,,,,# CPO（光模块）,,,| 胜利精密 | 002426 |,,,| 康强电子 | 002119 |
| 芯海科技 | 688595 |,,,,,,,| 芯海科技 | 688595 |,,,| 通富微电 | 002156 |
| 慧为智能 | 832876 |,,,,| 公司   | 股票代码   |,,,| 慧为智能 | 832876 |,,,| 晶方科技 | 603005 |
| 中京电子 | 002579 |,,,,| ---- | ------ |,,,| 中京电子 | 002579 |,,,| 士兰微  | 600460 |
| 软通动力 | 301236 |,,,,| 意华股份 | 002897 |,,,| 软通动力 | 301236 |,,,| 华润微  | 688396 |
| 力佳科技 | 835237 |,,,,| 联特科技 | 301205 |,,,| 力佳科技 | 835237 |,,,| 长电科技 | 600584 |
| 博敏电子 | 603936 |,,,,| 凯格精机 | 301338 |,,,| 博敏电子 | 603936 |,,,| 雅克科技 | 002409 |
| 科森科技 | 603626 |,,,,| 智立方  | 301312 |,,,| 科森科技 | 603626 |,,,
,,,,| 新易盛  | 300502 |,,,,,,---
---,,,,| 东山精密 | 002384 |,,,---,,,
,,,,,,,,,,# 半导体
# 电池,,,,---,,,# 电池,,,
,,,,,,,,,,| 公司   | 股票代码   |
| 公司   | 股票代码   |,,,,# 超级电容,,,| 公司   | 股票代码   |,,,| ---- | ------ |
| ---- | ------ |,,,,,,,| ---- | ------ |,,,| 裕太微  | 688515 |
| 圣阳股份 | 002580 |,,,,| 公司   | 股票代码   |,,,| 圣阳股份 | 002580 |,,,| 优迅股份 | 430565 |
| 维科技术 | 600152 |,,,,| ---- | ------ |,,,| 维科技术 | 600152 |,,,| 盛科通信 | 688702 |
| 振华新材 | 688707 |,,,,| 胜业电气 | 920128 |,,,| 振华新材 | 688707 |,,,| 帝奥微  | 688381 |
| 力佳科技 | 835237 |,,,,| 火炬电子 | 603678 |,,,| 力佳科技 | 835237 |,,,| 扬杰科技 | 300373 |
| 天宏锂电 | 873152 |,,,,| 江海股份 | 002484 |,,,| 天宏锂电 | 873152 |,,,| 卓胜微  | 300782 |
| 容百科技 | 688005 |,,,,| 华锋股份 | 002806 |,,,| 容百科技 | 688005 |,,,| 通富微电 | 002156 |
| 万里股份 | 600847 |,,,,| 龙辰科技 | 833580 |,,,| 万里股份 | 600847 |,,,
| 翔丰华  | 300890 |,,,,| 法拉电子 | 600563 |,,,| 翔丰华  | 300890 |,,,---
| 誉辰智能 | 688638 |,,,,,,,| 誉辰智能 | 688638 |,,,
,,,,---,,,,,,# 液冷服务器
---,,,,,,,---,,,
,,,,# MLCC（电子陶瓷电容）,,,,,,| 公司   | 股票代码   |
# 油气,,,,,,,# 油气,,,| ---- | ------ |
,,,,| 公司   | 股票代码   |,,,,,,| 祥鑫科技 | 002965 |
| 公司   | 股票代码   |,,,,| ---- | ------ |,,,| 公司   | 股票代码   |,,,| 金田股份 | 601609 |
| ---- | ------ |,,,,| 国瓷材料 | 300285 |,,,| ---- | ------ |,,,| 华源控股 | 002787 |
| 仁智股份 | 002629 |,,,,| 利和兴  | 301013 |,,,| 仁智股份 | 002629 |,,,| 依米康  | 300249 |
| 杰瑞股份 | 002353 |,,,,| 火炬电子 | 603678 |,,,| 杰瑞股份 | 002353 |,,,| 冰轮环境 | 000811 |
| 贝肯能源 | 002828 |,,,,| 鸿远电子 | 603267 |,,,| 贝肯能源 | 002828 |,,,| 腾龙股份 | 603158 |
| 新锦动力 | 300157 |,,,,| 博迁新材 | 605376 |,,,| 新锦动力 | 300157 |,,,| 博杰股份 | 002975 |
| 惠博普  | 002554 |,,,,| 风华高科 | 000636 |,,,| 惠博普  | 002554 |,,,
| 蓝科高新 | 601798 |,,,,,,,| 蓝科高新 | 601798 |,,,---
,,,,---,,,,,,
---,,,,,,,---,,,# PCB
,,,,# AI PC,,,,,,
# 短剧游戏,,,,,,,# 短剧游戏,,,| 公司   | 股票代码   |
,,,,| 公司   | 股票代码   |,,,,,,| ---- | ------ |
| 公司   | 股票代码   |,,,,| ---- | ------ |,,,| 公司   | 股票代码   |,,,| 迅捷兴  | 688655 |
| ---- | ------ |,,,,| 春秋电子 | 603890 |,,,| ---- | ------ |,,,| 一博科技 | 301366 |
| 天地在线 | 002995 |,,,,| 英力股份 | 300956 |,,,| 天地在线 | 002995 |,,,| 东材科技 | 601208 |
| 掌阅科技 | 603533 |,,,,| 雷神科技 | 872190 |,,,| 掌阅科技 | 603533 |,,,| 金信诺  | 300252 |
| 中科金财 | 002657 |,,,,| 胜利精密 | 002426 |,,,| 中科金财 | 002657 |,,,| 鼎泰高科 | 301377 |
| 易点天下 | 301171 |,,,,| 龙旗科技 | 603341 |,,,| 易点天下 | 301171 |,,,| 东威科技 | 688700 |
| 引力传媒 | 603598 |,,,,| 软通动力 | 301236 |,,,| 引力传媒 | 603598 |,,,| 中钨高新 | 000657 |
| 流金科技 | 834021 |,,,,,,,| 流金科技 | 834021 |,,,| 铜冠铜箔 | 301217 |
,,,,---,,,,,,| 胜宏科技 | 300476 |
---,,,,,,,---,,,
,,,,# 光刻机,,,,,,---
# 氟化工,,,,,,,# 氟化工,,,
,,,,| 公司   | 股票代码   |,,,,,,# 元件
| 公司   | 股票代码   |,,,,| ---- | ------ |,,,| 公司   | 股票代码   |,,,
| ---- | ------ |,,,,| 美迪凯  | 688079 |,,,| ---- | ------ |,,,| 公司   | 股票代码   |
| 巨化股份 | 600160 |,,,,| 江丰电子 | 300666 |,,,| 巨化股份 | 600160 |,,,| ---- | ------ |
| 昊华科技 | 600378 |,,,,| 中船特气 | 688146 |,,,| 昊华科技 | 600378 |,,,| 一博科技 | 301366 |
| 永和股份 | 605020 |,,,,| 芯碁微装 | 688630 |,,,| 永和股份 | 605020 |,,,| 迅捷兴  | 688655 |
| 三美股份 | 603379 |,,,,| 思泰克  | 301568 |,,,| 三美股份 | 603379 |,,,| 晶赛科技 | 871981 |
| 金石资源 | 603505 |,,,,| 华辰装备 | 300809 |,,,| 金石资源 | 603505 |,,,| 达利凯普 | 301566 |
| 多氟多  | 002407 |,,,,,,,| 多氟多  | 002407 |,,,| 麦捷科技 | 300319 |
,,,,---,,,,,,| 胜宏科技 | 300476 |
---,,,,,,,---,,,| 中富电路 | 300814 |
,,,,# 今日热点强度排序,,,,,,| 科翔股份 | 300903 |
# 小金属,,,,,,,# 小金属,,,
,,,,### 第一梯队（最强主线）,,,,,,---
| 公司   | 股票代码   |,,,,,,,| 公司   | 股票代码   |,,,
| ---- | ------ |,,,,#### 元件 + MLCC + 超级电容,,,| ---- | ------ |,,,# CPO（光模块）
| 长裕集团 | 300391 |,,,,,,,| 长裕集团 | 300391 |,,,
| 华锡有色 | 600301 |,,,,核心股：,,,| 华锡有色 | 600301 |,,,| 公司   | 股票代码   |
| 锡业股份 | 000960 |,,,,,,,| 锡业股份 | 000960 |,,,| ---- | ------ |
| 宝武镁业 | 002182 |,,,,* 风华高科（000636）,,,| 宝武镁业 | 002182 |,,,| 天洋新材 | 603330 |
| 章源钨业 | 002378 |,,,,* 江海股份（002484）,,,| 章源钨业 | 002378 |,,,| 一博科技 | 301366 |
| 金钼股份 | 601958 |,,,,* 火炬电子（603678）,,,| 金钼股份 | 601958 |,,,| 天孚通信 | 300394 |
| 安宁股份 | 002978 |,,,,* 国瓷材料（300285）,,,| 安宁股份 | 002978 |,,,| 亨通光电 | 600487 |
,,,,* 中京电子（002579）,,,,,,| 意华股份 | 002897 |
---,,,,,,,---,,,| 罗博特科 | 300757 |
,,,,逻辑：,,,,,,
# 玻璃基板,,,,**AI服务器 → PCB → MLCC → 超级电容**,,,# 玻璃基板,,,---
,,,,形成完整电子元件产业链共振。,,,,,,
| 公司    | 股票代码   |,,,,,,,| 公司    | 股票代码   |,,,# 铜缆高速连接
| ----- | ------ |,,,,---,,,| ----- | ------ |,,,
| 红星发展  | 600367 |,,,,,,,| 红星发展  | 600367 |,,,| 公司   | 股票代码   |
| 沃格光电  | 603773 |,,,,### 第二梯队,,,| 沃格光电  | 603773 |,,,| ---- | ------ |
| 京东方A  | 000725 |,,,,,,,| 京东方A  | 000725 |,,,| 金田股份 | 601609 |
| 雷曼光电  | 300162 |,,,,#### AI硬件链,,,| 雷曼光电  | 300162 |,,,| 鑫科材料 | 600255 |
| 彩虹股份  | 600707 |,,,,,,,| 彩虹股份  | 600707 |,,,| 金信诺  | 300252 |
| TCL科技 | 000100 |,,,,* AI PC,,,| TCL科技 | 000100 |,,,| 显盈科技 | 301067 |
,,,,* 液冷服务器,,,,,,| 华工科技 | 000988 |
---,,,,* CPO,,,---,,,| 神宇股份 | 300563 |
,,,,,,,,,,| 中天科技 | 600522 |
# 可控核聚变,,,,核心股：,,,# 可控核聚变,,,| 裕太微  | 688515 |
,,,,,,,,,,| 意华股份 | 002897 |
| 公司   | 股票代码   |,,,,* 春秋电子（603890）3连板,,,| 公司   | 股票代码   |,,,| 太辰光  | 300570 |
| ---- | ------ |,,,,* 意华股份（002897）涨停,,,| ---- | ------ |,,,| 汇绿生态 | 001267 |
| 合锻智能 | 603011 |,,,,* 联特科技（301205）,,,| 合锻智能 | 603011 |,,,| 长芯博创 | 300548 |
,,,,* 阿莱德（301419）,,,,,,| 长飞光纤 | 601869 |
---,,,,,,,---,,,
,,,,---,,,,,,---
# AI服务器,,,,,,,# AI服务器,,,
,,,,### 第三梯队,,,,,,# 玻璃基板
| 公司   | 股票代码       |,,,,,,,| 公司   | 股票代码       |,,,
| ---- | ---------- |,,,,#### 电力 / 绿电,,,| ---- | ---------- |,,,| 公司    | 股票代码   |
| 华勤技术 | 603296（A股） |,,,,,,,| 华勤技术 | 603296（A股） |,,,| ----- | ------ |
| 联想集团 | 00992.HK   |,,,,核心股：,,,| 联想集团 | 00992.HK   |,,,| 红星发展  | 600367 |
| 伟仕佳杰 | 00856.HK   |,,,,,,,| 伟仕佳杰 | 00856.HK   |,,,| TCL科技 | 000100 |
| 联想控股 | 03396.HK   |,,,,* 韶能股份（000601）,,,| 联想控股 | 03396.HK   |,,,| 美迪凯   | 688079 |
,,,,* 晋控电力（000767）,,,,,,| 鸿利智汇  | 300219 |
---,,,,* 华电辽能（600396）,,,---,,,| 京东方A  | 000725 |
,,,,,,,,,,| 沃格光电  | 603773 |
# MLCC（片式多层陶瓷电容）,,,,属于近期持续性主线，但已进入高位震荡阶段。,,,# MLCC（片式多层陶瓷电容）,,,
,,,,,,,,,,---
| 公司   | 股票代码   |,,,,---,,,| 公司   | 股票代码   |,,,
| ---- | ------ |,,,,,,,| ---- | ------ |,,,# 光纤通信
| 火炬电子 | 603678 |,,,,### 第四梯队,,,| 火炬电子 | 603678 |,,,
| 商络电子 | 300975 |,,,,,,,| 商络电子 | 300975 |,,,| 公司   | 股票代码   |
| 国瓷材料 | 300285 |,,,,#### 光刻机 / 半导体设备,,,| 国瓷材料 | 300285 |,,,| ---- | ------ |
| 博迁新材 | 605376 |,,,,,,,| 博迁新材 | 605376 |,,,| 三孚股份 | 603938 |
| 洁美科技 | 002859 |,,,,核心股：,,,| 洁美科技 | 002859 |,,,| 亨通光电 | 600487 |
| 三环集团 | 300408 |,,,,,,,| 三环集团 | 300408 |,,,| 金信诺  | 300252 |
,,,,* 美迪凯（688079）,,,,,,| 源杰科技 | 688498 |
---,,,,* 江丰电子（300666）,,,---,,,| 长飞光纤 | 601869 |
,,,,* 中船特气（688146）,,,,,,| 永鼎股份 | 600105 |
# 军工电子,,,,,,,# 军工电子,,,| 法尔胜  | 000890 |
,,,,属于半导体自主可控方向。,,,,,,
| 公司   | 股票代码   |,,,,,,,| 公司   | 股票代码   |,,,---
| ---- | ------ |,,,,---,,,| ---- | ------ |,,,
| 火炬电子 | 603678 |,,,,,,,| 火炬电子 | 603678 |,,,# 今日热点主线排序
| 鸿远电子 | 603267 |,,,,### 第五梯队,,,| 鸿远电子 | 603267 |,,,
| 振华科技 | 000733 |,,,,,,,| 振华科技 | 000733 |,,,### 第一梯队（最强）
| 宏达电子 | 300726 |,,,,#### 人形机器人,,,| 宏达电子 | 300726 |,,,
| 宏明电子 | 301539 |,,,,,,,| 宏明电子 | 301539 |,,,#### AI算力硬件产业链
| 成电光信 | 920008 |,,,,核心股：,,,| 成电光信 | 920008 |,,,
,,,,,,,,,,* PCB
---,,,,* 中大力德（002896）,,,---,,,* CPO
,,,,* 绿的谐波（688017）,,,,,,* 铜缆高速连接
# 半导体,,,,* 昊志机电（300503）,,,# 半导体,,,* 光纤通信
,,,,,,,,,,* 液冷服务器
| 公司   | 股票代码   |,,,,目前属于局部资金回流。,,,| 公司   | 股票代码   |,,,
| ---- | ------ |,,,,,,,| ---- | ------ |,,,核心股：
| 领先股份 | 002553 |,,,,---,,,| 领先股份 | 002553 |,,,
| 颀中科技 | 688352 |,,,,,,,| 颀中科技 | 688352 |,,,* 一博科技（301366）
| 安路科技 | 688107 |,,,,### 当前市场最强叙事链,,,| 安路科技 | 688107 |,,,* 亨通光电（600487）
| 强一股份 | 688753 |,,,,,,,| 强一股份 | 688753 |,,,* 金信诺（300252）
| 芯海科技 | 688595 |,,,,**AI服务器 → 液冷 → PCB元件 → MLCC → 超级电容**,,,| 芯海科技 | 688595 |,,,* 天孚通信（300394）
| 瑞芯微  | 603893 |,,,,,,,| 瑞芯微  | 603893 |,,,* 金田股份（601609）
| 大普微  | 688525 |,,,,这是今天资金集中度最高、联动性最强的一条产业链。,,,| 大普微  | 688525 |,,,
| 乐鑫科技 | 688018 |,,,,,,,| 乐鑫科技 | 688018 |,,,---
| 银河微电 | 688689 |,,,,其次是：,,,| 银河微电 | 688689 |,,,
,,,,,,,,,,### 第二梯队
---,,,,**AI PC → CPO → 光刻机 → 半导体设备**,,,---,,,
,,,,,,,,,,#### 半导体先进封装
## 今日资金主线强度排序,,,,而此前最强的：,,,## 今日资金主线强度排序,,,
,,,,,,,,,,* 通富微电涨停
### 第一梯队（最强）,,,,**电力 → 电网 → 储能**,,,### 第一梯队（最强）,,,* 康强电子涨停
,,,,,,,,,,* 华虹公司持续走强
1. **电力 + 电网设备**,,,,目前已经从主升阶段进入高位分化阶段。,,,1. **电力 + 电网设备**,,,
,,,,,,,,,,核心股：
   * 粤电力A 4连板,,,,,,,   * 粤电力A 4连板,,,
   * 晋控电力 2连板,,,,,,,   * 晋控电力 2连板,,,* 通富微电（002156）
   * 华能蒙电、深南电A持续走强,,,,,,,   * 华能蒙电、深南电A持续走强,,,* 长电科技（600584）
   * 电网设备同步发酵,,,,,,,   * 电网设备同步发酵,,,* 华虹公司（688347）
,,,,,,,,,,* 晶方科技（603005）
2. **AI应用 + AI PC + AI服务器**,,,,,,,2. **AI应用 + AI PC + AI服务器**,,,
,,,,,,,,,,---
   * 掌阅科技涨停,,,,,,,   * 掌阅科技涨停,,,
   * 视觉中国涨停,,,,,,,   * 视觉中国涨停,,,### 第三梯队
   * 天地在线涨停,,,,,,,   * 天地在线涨停,,,
   * 华勤技术港股暴涨,,,,,,,   * 华勤技术港股暴涨,,,#### 元件 + MLCC + PCB
,,,,,,,,,,
---,,,,,,,---,,,核心股：
,,,,,,,,,,
### 第二梯队,,,,,,,### 第二梯队,,,* 一博科技（301366）
,,,,,,,,,,* 达利凯普（301566）
3. **半导体 + MLCC + 玻璃基板**,,,,,,,3. **半导体 + MLCC + 玻璃基板**,,,* 胜宏科技（300476）
,,,,,,,,,,* 麦捷科技（300319）
   * 红星发展5天3板,,,,,,,   * 红星发展5天3板,,,
   * 沃格光电趋势新高,,,,,,,   * 沃格光电趋势新高,,,---
   * 火炬电子涨停,,,,,,,   * 火炬电子涨停,,,
   * 芯海科技、颀中科技创新高,,,,,,,   * 芯海科技、颀中科技创新高,,,### 第四梯队
,,,,,,,,,,
4. **氟化工**,,,,,,,4. **氟化工**,,,#### 电力
,,,,,,,,,,
   * 巨化股份涨停,,,,,,,   * 巨化股份涨停,,,核心股：
   * 昊华科技冲板,,,,,,,   * 昊华科技冲板,,,
   * 半导体材料逻辑催化,,,,,,,   * 半导体材料逻辑催化,,,* 豫能控股（001896）
,,,,,,,,,,* 广西能源（600310）
---,,,,,,,---,,,* 新中港（605162）
,,,,,,,,,,
### 第三梯队,,,,,,,### 第三梯队,,,资金仍有活跃，但强度已明显弱于AI硬件链。
,,,,,,,,,,
5. 房地产,,,,,,,5. 房地产,,,---
6. 养殖（鸡肉、生猪）,,,,,,,6. 养殖（鸡肉、生猪）,,,
7. 小金属,,,,,,,7. 小金属,,,### 第五梯队
8. 油气,,,,,,,8. 油气,,,
,,,,,,,,,,#### 培育钻石 / 超硬材料
### 当前最具持续性的产业链,,,,,,,### 当前最具持续性的产业链,,,
,,,,,,,,,,核心股：
**电力 → 电网设备 → 电池储能**,,,,,,,**电力 → 电网设备 → 电池储能**,,,
,,,,,,,,,,* 楚江新材（002171）
其次是：,,,,,,,其次是：,,,* 国机精工（002046）
,,,,,,,,,,* 惠丰钻石（839725）
**AI服务器 → AI PC → AI应用 → 短剧游戏**,,,,,,,**AI服务器 → AI PC → AI应用 → 短剧游戏**,,,* 力量钻石（301071）
,,,,,,,,,,
而半导体方向正在形成：,,,,,,,而半导体方向正在形成：,,,---
,,,,,,,,,,
**氟化工(PFA) → 半导体材料 → MLCC → 玻璃基板 → 芯片设计**,,,,,,,**氟化工(PFA) → 半导体材料 → MLCC → 玻璃基板 → 芯片设计**,,,## 当前最强市场叙事
,,,,,,,,,,
这一条产业链值得重点跟踪后续资金持续性。,,,,,,,这一条产业链值得重点跟踪后续资金持续性。,,,最强资金主线已经非常清晰：
,,,,,,,,,,
,,,,,,,,,,**AI服务器 → 液冷 → PCB → 铜缆高速连接 → CPO → 光纤通信**
,,,,,,,,,,
,,,,,,,,,,对应核心龙头群：
,,,,,,,,,,
,,,,,,,,,,* 一博科技（301366）
,,,,,,,,,,* 亨通光电（600487）
,,,,,,,,,,* 金信诺（300252）
,,,,,,,,,,* 天孚通信（300394）
,,,,,,,,,,* 通富微电（002156）
,,,,,,,,,,
,,,,,,,,,,这是目前市场资金集中度最高、板块联动最完整的一条主升产业链。
