# 一、今日热点板块及股票代码整理,,,,,# 一、今日热点板块及股票代码整理,,,,,# 一、今日热点板块及股票代码整理,,,,,# 一、今日热点板块及股票代码整理,,,,,# 一、今日热点板块及股票代码整理
,,,,,,,,,,,,,,,---,,,,,PCB产业链炒作已经由覆铜板（CCL）扩散至**玻纤→铜箔→PCB制造→封装**的完整产业链。
| 股票   | 代码         |,,,,,本轮AI主线已经从PCB延伸至光通信。,,,,,---,,,,,,,,,,
| ---- | ---------- |,,,,,,,,,,,,,,,# ② 液冷服务器,,,,,---
| 中钨高新 | **000657** |,,,,,---,,,,,# ② PCB（玻纤+铜箔）,,,,,,,,,,
| 兴业银锡 | **000426** |,,,,,,,,,,,,,,,| 股票   | 代码         |,,,,,# ② 玻璃基板（AI硬件新分支）
| 厦门钨业 | **600549** |,,,,,# ② 算力租赁/算力基础设施,,,,,| 股票   | 代码         |,,,,,| ---- | ---------- |,,,,,
| 洛阳钼业 | **603993** |,,,,,,,,,,| ---- | ---------- |,,,,,| 冰轮环境 | **000811** |,,,,,| 股票    | 代码         |
| 中色股份 | **000758** |,,,,,| 股票   | 代码         |,,,,,| 中国巨石 | **600176** |,,,,,| 英维克  | **002837** |,,,,,| ----- | ---------- |
| 中金岭南 | **000060** |,,,,,| ---- | ---------- |,,,,,| 国际复材 | **301526** |,,,,,| 飞龙股份 | **002536** |,,,,,| 雷曼光电  | **300162** |
,,,,,| 利通电子 | **603629** |,,,,,| 满坤科技 | **301132** |,,,,,| 川环科技 | **300547** |,,,,,| 凯盛科技  | **600552** |
资源主线继续发酵。,,,,,| 中科金财 | **002657** |,,,,,| 华正新材 | **603186** |,,,,,| 南方泵业 | **300145** |,,,,,| 红星发展  | **600367** |
,,,,,| 特发信息 | **000070** |,,,,,| 平安电工 | **001359** |,,,,,| 大元泵业 | **603757** |,,,,,| 旗滨集团  | **601636** |
---,,,,,| 协创数据 | **300857** |,,,,,| 铜冠铜箔 | **301217** |,,,,,,,,,,| 莱宝高科  | **002106** |
,,,,,| 润建股份 | **002929** |,,,,,| 亨通股份 | **600226** |,,,,,### 逻辑,,,,,| 京东方A  | **000725** |
# ③ 锆概念,,,,,| 铜牛信息 | **300895** |,,,,,,,,,,,,,,,| 力诺药包  | **301188** |
,,,,,,,,,,### 特点,,,,,```text,,,,,| 长信科技  | **300088** |
| 股票   | 代码           |,,,,,政策催化：,,,,,,,,,,AI服务器功耗提升,,,,,| 美迪凯   | **688079** |
| ---- | ------------ |,,,,,,,,,,* 中国巨石涨停,,,,,↓,,,,,| 沃格光电  | **603773** |
| 长裕集团 | **待确认（北交所）** |,,,,,《促进平台经济大中小企业协同发展行动方案（2026-2028）》。,,,,,* 国际复材创新高,,,,,散热需求爆发,,,,,| TCL科技 | **000100** |
| 东方锆业 | **002167**   |,,,,,,,,,,* 玻纤、铜箔继续领涨,,,,,↓,,,,,| 艾森股份  | **688720** |
| 盛和资源 | **600392**   |,,,,,---,,,,,,,,,,液冷渗透率提升,,,,,| 彩虹股份  | **600707** |
| 凯盛科技 | **600552**   |,,,,,,,,,,AI服务器材料链继续强化。,,,,,```,,,,,| 安彩高科  | **600207** |
| 国瓷材料 | **300285**   |,,,,,# ③ 创新药,,,,,,,,,,,,,,,
,,,,,,,,,,---,,,,,---,,,,,### 龙头表现
### 龙头表现,,,,,| 股票   | 代码         |,,,,,,,,,,,,,,,
,,,,,| ---- | ---------- |,,,,,# ③ 光通信（当前AI核心）,,,,,# ③ 光通信/光纤材料,,,,,* 雷曼光电20CM涨停
* 长裕集团5天4板,,,,,| 新华制药 | **000756** |,,,,,,,,,,,,,,,* 旗滨集团涨停
* 东方锆业2连板,,,,,| 海南海药 | **000566** |,,,,,| 股票   | 代码         |,,,,,| 股票   | 代码         |,,,,,* 莱宝高科涨停
,,,,,| 海欣股份 | **600851** |,,,,,| ---- | ---------- |,,,,,| ---- | ---------- |,,,,,* 京东方A逼近涨停
锆成为稀有金属中的新核心。,,,,,| 粤万年青 | **301111** |,,,,,| 通鼎互联 | **002491** |,,,,,| 光电股份 | **600184** |,,,,,* 凯盛科技持续强势
,,,,,| 康芝药业 | **300086** |,,,,,| 泰和新材 | **002254** |,,,,,| 泰和新材 | **002254** |,,,,,
---,,,,,| 盘龙药业 | **002864** |,,,,,| 航天电器 | **002025** |,,,,,| 宏柏新材 | **605366** |,,,,,玻璃基板已经成为AI显示、先进封装的重要补涨方向。
,,,,,| 博瑞医药 | **688166** |,,,,,| 永鼎股份 | **600105** |,,,,,| 金信诺  | **300252** |,,,,,
# ④ 磷化工,,,,,,,,,,| 新亚电子 | **605277** |,,,,,| 中天科技 | **600522** |,,,,,---
,,,,,属于超跌后的机构回流。,,,,,| 杭电股份 | **603618** |,,,,,| 永鼎股份 | **600105** |,,,,,
| 股票   | 代码         |,,,,,,,,,,| 三孚股份 | **603938** |,,,,,| 唯科科技 | **301196** |,,,,,# ③ 先进封装
| ---- | ---------- |,,,,,---,,,,,| 亨通光电 | **600487** |,,,,,,,,,,
| 川发龙蟒 | **002312** |,,,,,,,,,,| 中天科技 | **600522** |,,,,,### 龙头,,,,,| 股票   | 代码         |
| 川金诺  | **300505** |,,,,,# ④ 券商,,,,,| 光库科技 | **300620** |,,,,,,,,,,| ---- | ---------- |
| 兴发集团 | **600141** |,,,,,,,,,,,,,,,* 泰和新材14天7板,,,,,| 太极实业 | **600667** |
| 川恒股份 | **002895** |,,,,,| 股票   | 代码         |,,,,,### 龙头表现,,,,,* 光电股份涨停,,,,,| 中科飞测 | **688361** |
| 湖北宜化 | **000422** |,,,,,| ---- | ---------- |,,,,,,,,,,* 宏柏新材2连板,,,,,| 芯源微  | **688037** |
| 云天化  | **600096** |,,,,,| 长江证券 | **000783** |,,,,,* 永鼎股份反包涨停创新高,,,,,,,,,,| 精测电子 | **300567** |
,,,,,| 广发证券 | **000776** |,,,,,* 通鼎互联涨停,,,,,资金已经开始炒作光纤上游原材料。,,,,,| 凯盛科技 | **600552** |
属于资源品扩散方向。,,,,,| 中信建投 | **601066** |,,,,,* 泰和新材涨停,,,,,,,,,,
,,,,,| 华安证券 | **600909** |,,,,,,,,,,---,,,,,### 龙头
---,,,,,| 东北证券 | **000686** |,,,,,AI网络建设持续加速。,,,,,,,,,,
,,,,,,,,,,,,,,,# ④ 超级电容,,,,,* 太极实业涨停
# ⑤ AI应用,,,,,### 特征,,,,,---,,,,,,,,,,* 中科飞测大涨10%+
,,,,,,,,,,,,,,,| 股票   | 代码         |,,,,,
| 股票   | 代码         |,,,,,* 长江证券2连板,,,,,# ④ AI应用,,,,,| ---- | ---------- |,,,,,先进封装仍然是AI芯片产业链的重要方向。
| ---- | ---------- |,,,,,* 华安证券持续强势,,,,,,,,,,| 黑猫股份 | **002068** |,,,,,
| 华凯易佰 | **300592** |,,,,,,,,,,| 股票   | 代码         |,,,,,| 新疆众和 | **600888** |,,,,,---
| 天娱数科 | **002354** |,,,,,指数行情预期升温。,,,,,| ---- | ---------- |,,,,,| 元力股份 | **300174** |,,,,,
| 正和生态 | **605069** |,,,,,,,,,,| 天娱数科 | **002354** |,,,,,| 艾华集团 | **603989** |,,,,,# ④ 绿电
| 苏州科达 | **603660** |,,,,,---,,,,,| 星宸科技 | **301536** |,,,,,| 万顺新材 | **300057** |,,,,,
| 中科金财 | **002657** |,,,,,,,,,,| 三七互娱 | **002555** |,,,,,| 江海股份 | **002484** |,,,,,| 股票   | 代码             |
| 凡拓数创 | **301313** |,,,,,# ⑤ 金融科技,,,,,| 新易盛  | **300502** |,,,,,| 海星股份 | **603115** |,,,,,| ---- | -------------- |
| 昆仑万维 | **300418** |,,,,,,,,,,| 吉比特  | **603444** |,,,,,,,,,,| 龙源电力 | **001289**（A股） |
,,,,,| 股票   | 代码         |,,,,,,,,,,### 龙头,,,,,| 三一重能 | **688349**     |
AI应用端开始出现回流。,,,,,| ---- | ---------- |,,,,,### 催化,,,,,,,,,,| 节能风电 | **601016**     |
,,,,,| 银之杰  | **300085** |,,,,,,,,,,黑猫股份5天4板。,,,,,| 华电辽能 | **600396**     |
---,,,,,| 恒银科技 | **603106** |,,,,,豆包大模型日均 Token 调用量突破180万亿。,,,,,,,,,,| 西昌电力 | **600505**     |
,,,,,| 赢时胜  | **300377** |,,,,,,,,,,---,,,,,| 京能电力 | **600578**     |
# ⑥ 培育钻石,,,,,| 中科金财 | **002657** |,,,,,资金开始关注：,,,,,,,,,,
,,,,,| 大智慧  | **601519** |,,,,,,,,,,# ⑤ 存储芯片,,,,,### 龙头
| 股票   | 代码              |,,,,,| 同花顺  | **300033** |,,,,,```text,,,,,,,,,,
| ---- | --------------- |,,,,,,,,,,AI应用,,,,,| 股票   | 代码         |,,,,,* 龙源电力涨停
| 黄河旋风 | **600172**      |,,,,,金融科技ETF明显放量。,,,,,↓,,,,,| ---- | ---------- |,,,,,* 三一重能涨超10%
| 四方达  | **300179**      |,,,,,,,,,,推理需求,,,,,| 太极实业 | **600667** |,,,,,
| 惠丰钻石 | **839725（北交所）** |,,,,,---,,,,,↓,,,,,| 汇成股份 | **688403** |,,,,,属于政策+电力改革催化下的防御成长方向。
| 力量钻石 | **301071**      |,,,,,,,,,,算力消耗,,,,,| 雅克科技 | **002409** |,,,,,
| 沃尔德  | **688028**      |,,,,,# ⑥ 机器人,,,,,```,,,,,| 佰维存储 | **688525** |,,,,,---
,,,,,,,,,,,,,,,| 江波龙  | **301308** |,,,,,
属于超硬材料方向。,,,,,| 股票   | 代码         |,,,,,---,,,,,| 胜科纳米 | **688757** |,,,,,# ⑤ 机器人
,,,,,| ---- | ---------- |,,,,,,,,,,,,,,,
---,,,,,| 巨轮智能 | **002031** |,,,,,# ⑤ 港口航运,,,,,### 催化,,,,,| 股票   | 代码              |
,,,,,| 方正电机 | **002196** |,,,,,,,,,,,,,,,| ---- | --------------- |
# ⑦ 靶材（半导体材料）,,,,,| 万向钱潮 | **000559** |,,,,,| 股票   | 代码         |,,,,,美光财报超预期。,,,,,| 模塑科技 | **000700**      |
,,,,,| 北自科技 | **603082** |,,,,,| ---- | ---------- |,,,,,,,,,,| 祥鑫科技 | **002965**      |
| 股票   | 代码         |,,,,,| 睿能科技 | **603933** |,,,,,| 招商轮船 | **601872** |,,,,,存储价格景气度继续提升。,,,,,| 恒锋工具 | **300488**      |
| ---- | ---------- |,,,,,| 长盛轴承 | **300718** |,,,,,| 中远海能 | **600026** |,,,,,,,,,,| 朗迪集团 | **603726**      |
| 欧莱新材 | **688530** |,,,,,,,,,,| 招商南油 | **601975** |,,,,,---,,,,,| 丰光精密 | **430510（北交所）** |
| 有研新材 | **600206** |,,,,,机器人继续保持活跃。,,,,,| 国航远洋 | **833171** |,,,,,,,,,,| 征和工业 | **003033**      |
| 江丰电子 | **300666** |,,,,,,,,,,| 南京港  | **002040** |,,,,,# ⑥ 先进封装,,,,,
| 阿石创  | **300706** |,,,,,---,,,,,| 宁波远洋 | **601022** |,,,,,,,,,,### 龙头
,,,,,,,,,,,,,,,| 股票   | 代码         |,,,,,
### 特点,,,,,# ⑦ 锆资源,,,,,属于地缘与运价驱动。,,,,,| ---- | ---------- |,,,,,* 模塑科技涨停
,,,,,,,,,,,,,,,| 长电科技 | **600584** |,,,,,* 祥鑫科技2连板
欧莱新材创历史新高。,,,,,| 股票   | 代码         |,,,,,---,,,,,| 盛剑科技 | **603324** |,,,,,
,,,,,| ---- | ---------- |,,,,,,,,,,| 国林科技 | **300786** |,,,,,机器人维持轮动活跃。
说明：,,,,,| 东方锆业 | **002167** |,,,,,# ⑥ 消费电子/芯片,,,,,| 芯源微  | **688037** |,,,,,
,,,,,| 长裕集团 | **待确认**    |,,,,,,,,,,| 中科飞测 | **688361** |,,,,,---
资金开始向半导体材料扩散。,,,,,| 爱迪特  | **301580** |,,,,,| 股票   | 代码         |,,,,,| 耐科装备 | **688419** |,,,,,
,,,,,| 三祥新材 | **603663** |,,,,,| ---- | ---------- |,,,,,,,,,,# 二、今日盘面分析
---,,,,,| 凯盛科技 | **600552** |,,,,,| 长电科技 | **600584** |,,,,,### 龙头,,,,,
,,,,,| 盛和资源 | **600392** |,,,,,| 中芯国际 | **688981** |,,,,,,,,,,---
# ⑧ 玻璃基板,,,,,| 国瓷材料 | **300285** |,,,,,| 东山精密 | **002384** |,,,,,* 长电科技4天3板,,,,,
,,,,,,,,,,| 生益科技 | **600183** |,,,,,* 总市值突破1800亿,,,,,# ① AI硬件产业链继续统治市场（★★★★★）
| 股票   | 代码         |,,,,,### 龙头,,,,,| 京东方A | **000725** |,,,,,* 拟投资78亿建设先进封装基地,,,,,
| ---- | ---------- |,,,,,,,,,,| 华工科技 | **000988** |,,,,,,,,,,今天虽然指数震荡，
| 凯盛科技 | **600552** |,,,,,东方锆业3连板。,,,,,,,,,,---,,,,,
| 沃格光电 | **603773** |,,,,,,,,,,### 特点,,,,,,,,,,但是资金依旧围绕AI硬件展开。
| 帝尔激光 | **300776** |,,,,,---,,,,,,,,,,# ⑦ MLCC,,,,,
| 京东方A | **000725** |,,,,,,,,,,* 长电科技涨停,,,,,,,,,,今天最强方向：
| 德龙激光 | **688170** |,,,,,# ⑧ 电子特气,,,,,* 中芯国际大涨,,,,,| 股票   | 代码         |,,,,,
,,,,,,,,,,* 消费电子ETF连续吸金,,,,,| ---- | ---------- |,,,,,```text
属于先进封装材料方向。,,,,,| 股票   | 代码         |,,,,,,,,,,| 昀冢科技 | **688260** |,,,,,PCB（CCL）
,,,,,| ---- | ---------- |,,,,,---,,,,,| 火炬电子 | **603678** |,,,,,
---,,,,,| 华特气体 | **688268** |,,,,,,,,,,| 三环集团 | **300408** |,,,,,↓
,,,,,| 凯美特气 | **002549** |,,,,,# ⑦ 先进封装,,,,,| 风华高科 | **000636** |,,,,,
# ⑨ 算力租赁,,,,,| 蜀道装备 | **300540** |,,,,,,,,,,| 博迁新材 | **605376** |,,,,,玻纤
,,,,,| 杭氧股份 | **002430** |,,,,,| 股票   | 代码         |,,,,,| 洁美科技 | **002859** |,,,,,
| 股票   | 代码         |,,,,,| 金宏气体 | **688106** |,,,,,| ---- | ---------- |,,,,,,,,,,↓
| ---- | ---------- |,,,,,| 昊华科技 | **600378** |,,,,,| 太极实业 | **600667** |,,,,,### 龙头,,,,,
| 协创数据 | **300857** |,,,,,,,,,,| 汇成股份 | **688403** |,,,,,,,,,,玻璃基板
| 利通电子 | **603629** |,,,,,半导体材料继续扩散。,,,,,| 三安光电 | **600703** |,,,,,昀冢科技再创新高。,,,,,
| 宏景科技 | **301396** |,,,,,,,,,,| 英诺激光 | **301021** |,,,,,,,,,,↓
| 润建股份 | **002929** |,,,,,---,,,,,| 长电科技 | **600584** |,,,,,---,,,,,
| 铜牛信息 | **300895** |,,,,,,,,,,| 绿通科技 | **301322** |,,,,,,,,,,先进封装
,,,,,# ⑨ 玻璃基板,,,,,,,,,,# ⑧ 折叠屏,,,,,```
AI算力方向重新活跃。,,,,,,,,,,### 特征,,,,,,,,,,
,,,,,| 股票   | 代码         |,,,,,,,,,,| 股票   | 代码         |,,,,,可以看到：
---,,,,,| ---- | ---------- |,,,,,* 太极实业创新高涨停,,,,,| ---- | ---------- |,,,,,
,,,,,| 彩虹股份 | **600707** |,,,,,* 汇成股份创新高涨停,,,,,| 维信诺  | **002387** |,,,,,整个AI硬件材料链全部上涨。
# ⑩ 储能,,,,,| 五方光电 | **002962** |,,,,,* 三安光电涨停,,,,,| 安洁科技 | **002635** |,,,,,
,,,,,| 凯盛科技 | **600552** |,,,,,,,,,,| 万顺新材 | **300057** |,,,,,说明：
| 股票   | 代码         |,,,,,| 隆利科技 | **300752** |,,,,,先进封装接力PCB。,,,,,| 长信科技 | **300088** |,,,,,
| ---- | ---------- |,,,,,| 锐科激光 | **300747** |,,,,,,,,,,| 精研科技 | **300709** |,,,,,> **机构资金仍然没有离开AI。**
| 阳光电源 | **300274** |,,,,,| 蓝思科技 | **300433** |,,,,,---,,,,,,,,,,
| 湖南裕能 | **301358** |,,,,,,,,,,,,,,,消费电子方向回暖。,,,,,---
| 潍柴动力 | **000338** |,,,,,---,,,,,# ⑧ 存储芯片,,,,,,,,,,
| 龙蟠科技 | **603906** |,,,,,,,,,,,,,,,---,,,,,# ② PCB进入主升浪后半段（★★★★★）
| 德方纳米 | **300769** |,,,,,# ⑩ 光刻胶,,,,,| 股票   | 代码         |,,,,,,,,,,
,,,,,,,,,,| ---- | ---------- |,,,,,# ⑨ 游戏,,,,,最近两周演变：
新能源方向开始补涨。,,,,,| 股票   | 代码              |,,,,,| 长电科技 | **600584** |,,,,,,,,,,
,,,,,| ---- | --------------- |,,,,,| 三安光电 | **600703** |,,,,,| 股票   | 代码         |,,,,,```text
---,,,,,| 怡达股份 | **300721**      |,,,,,| 中科飞测 | **688361** |,,,,,| ---- | ---------- |,,,,,PCB
,,,,,| 佳先股份 | **430489（北交所）** |,,,,,| 华虹公司 | **688347** |,,,,,| 巨人网络 | **002558** |,,,,,
# 二、今日盘面分析,,,,,| 八亿时空 | **688181**      |,,,,,| 中芯国际 | **688981** |,,,,,| 中青宝  | **300052** |,,,,,↓
,,,,,| 高盟新材 | **300200**      |,,,,,,,,,,| 冰川网络 | **300533** |,,,,,
---,,,,,| 广信材料 | **300537**      |,,,,,### 催化,,,,,| 三七互娱 | **002555** |,,,,,覆铜板(CCL)
,,,,,| 红宝丽  | **002165**      |,,,,,,,,,,| 完美世界 | **002624** |,,,,,
# ① AI主线出现新切换（★★★★★）,,,,,| 强力新材 | **300429**      |,,,,,三星发布UFS5.0存储方案。,,,,,| 吉比特  | **603444** |,,,,,↓
,,,,,,,,,,,,,,,,,,,,
最近几天市场一直围绕：,,,,,半导体材料方向。,,,,,---,,,,,AI应用端活跃。,,,,,玻纤
,,,,,,,,,,,,,,,,,,,,
```text,,,,,---,,,,,# ⑨ 券商,,,,,---,,,,,↓
PCB,,,,,,,,,,,,,,,,,,,,
↓,,,,,# ? 芯片电感,,,,,| 股票   | 代码         |,,,,,# ⑩ 钨资源,,,,,铜箔
,,,,,,,,,,| ---- | ---------- |,,,,,,,,,,
CCL覆铜板,,,,,| 股票   | 代码         |,,,,,| 华安证券 | **600909** |,,,,,| 股票   | 代码         |,,,,,↓
,,,,,| ---- | ---------- |,,,,,| 华创云信 | **600155** |,,,,,| ---- | ---------- |,,,,,
↓,,,,,| 龙磁科技 | **300835** |,,,,,| 国元证券 | **000728** |,,,,,| 翔鹭钨业 | **002842** |,,,,,PCB设备
,,,,,| 田中精机 | **300461** |,,,,,| 长江证券 | **000783** |,,,,,| 中钨高新 | **000657** |,,,,,
玻纤,,,,,| 悦安新材 | **688786** |,,,,,| 财达证券 | **600906** |,,,,,| 厦门钨业 | **600549** |,,,,,↓
,,,,,| 科瑞思  | **301314** |,,,,,| 红塔证券 | **601236** |,,,,,| 章源钨业 | **002378** |,,,,,
↓,,,,,| 麦捷科技 | **300319** |,,,,,| 招商证券 | **600999** |,,,,,,,,,,先进封装
,,,,,,,,,,,,,,,资源股继续活跃。,,,,,```
铜箔,,,,,属于AI服务器被动元件。,,,,,### 龙头,,,,,,,,,,
```,,,,,,,,,,,,,,,---,,,,,今天：
,,,,,---,,,,,华安证券涨停。,,,,,,,,,,
展开。,,,,,,,,,,,,,,,# 二、今日盘面分析,,,,,* 中材科技13天7板
,,,,,# ? 培育钻石,,,,,---,,,,,,,,,,* 中国巨石趋势创新高
而今天最大的变化是：,,,,,,,,,,,,,,,---,,,,,* 国际复材继续创新高
,,,,,| 股票   | 代码         |,,,,,# 二、今日盘面分析,,,,,,,,,,
资金开始从材料端切换到：,,,,,| ---- | ---------- |,,,,,,,,,,# ① AI产业链重新全面强化（★★★★★）,,,,,说明：
,,,,,| 黄河旋风 | **600172** |,,,,,---,,,,,,,,,,
```text,,,,,| 惠丰钻石 | **839725** |,,,,,,,,,,今天最大的特点：,,,,,PCB已经从单一题材，
光纤,,,,,| 力量钻石 | **301071** |,,,,,# ① 市场形成“三主线”结构（★★★★★）,,,,,,,,,,
,,,,,| 四方达  | **300179** |,,,,,,,,,,AI从多个方向同时爆发：,,,,,升级成产业链行情。
↓,,,,,,,,,,与前几天不同，,,,,,,,,,,
,,,,,超硬材料继续强势。,,,,,,,,,,```text,,,,,资金开始：
算力网络,,,,,,,,,,今天已经不是单纯AI行情。,,,,,算力租赁,,,,,
,,,,,---,,,,,,,,,,+,,,,,> **挖掘产业链细分龙头。**
↓,,,,,,,,,,市场出现：,,,,,液冷服务器,,,,,
,,,,,# ? 化工,,,,,,,,,,+,,,,,---
算力租赁,,,,,,,,,,```text,,,,,光通信,,,,,
,,,,,| 股票   | 代码         |,,,,,创新药,,,,,+,,,,,# ③ 玻璃基板成为最强补涨方向（★★★★★）
↓,,,,,| ---- | ---------- |,,,,,+,,,,,先进封装,,,,,
,,,,,| 六国化工 | **600470** |,,,,,AI算力,,,,,+,,,,,今天最大的新增热点：
AI应用,,,,,| 川发龙蟒 | **002312** |,,,,,+,,,,,存储芯片,,,,,
```,,,,,| 川金诺  | **300505** |,,,,,大金融,,,,,+,,,,,玻璃基板。
,,,,,| 潞化科技 | **待确认**    |,,,,,```,,,,,MLCC,,,,,
即：,,,,,| 金正大  | **002470** |,,,,,,,,,,```,,,,,资金选择：
,,,,,,,,,,三条主线并行。,,,,,,,,,,
> AI基础设施 → AI落地应用,,,,,---,,,,,,,,,,形成完整共振。,,,,,```text
,,,,,,,,,,这是指数强势阶段最典型特征。,,,,,,,,,,先进封装
开始轮动。,,,,,# ? 煤炭,,,,,,,,,,这通常意味着：,,,,,
,,,,,,,,,,---,,,,,,,,,,↓
---,,,,,| 股票   | 代码         |,,,,,,,,,,> 主升浪阶段资金再次回流AI。,,,,,
,,,,,| ---- | ---------- |,,,,,# ② 创新药正式晋升第一主线,,,,,,,,,,玻璃基板
# ② 光纤通信成为今日核心,,,,,| 宝泰隆  | **601011** |,,,,,,,,,,---,,,,,
,,,,,| 云煤能源 | **600792** |,,,,,最近三天演变：,,,,,,,,,,↓
今天最强板块其实不是PCB。,,,,,| 辽宁能源 | **600758** |,,,,,,,,,,# ② 光通信进入主升三阶段,,,,,
,,,,,| 新集能源 | **601918** |,,,,,```text,,,,,,,,,,显示面板
而是：,,,,,| 晋控煤业 | **601001** |,,,,,创新药异动,,,,,过去两周演变：,,,,,
,,,,,| 陕西黑猫 | **601015** |,,,,,,,,,,,,,,,↓
```text,,,,,,,,,,↓,,,,,```text,,,,,
光纤通信,,,,,资源板块补涨。,,,,,,,,,,PCB,,,,,OLED
```,,,,,,,,,,ETF大幅流入,,,,,,,,,,```
,,,,,---,,,,,,,,,,↓,,,,,
核心股：,,,,,,,,,,↓,,,,,,,,,,几乎形成联动。
,,,,,# ? 液冷服务器,,,,,,,,,,光纤通信,,,,,
* 特发信息涨停新高,,,,,,,,,,龙头连板,,,,,,,,,,尤其：
* 长飞光纤大涨,,,,,| 股票   | 代码         |,,,,,,,,,,↓,,,,,
* 亨通光电上涨,,,,,| ---- | ---------- |,,,,,↓,,,,,,,,,,* 雷曼光电20CM
* 通鼎互联上涨,,,,,| 英维克  | **002837** |,,,,,,,,,,光纤材料,,,,,* 京东方A放量
,,,,,| 大元泵业 | **603757** |,,,,,板块集体爆发,,,,,,,,,,* 凯盛科技继续强势
逻辑：,,,,,| 飞龙股份 | **002536** |,,,,,```,,,,,↓,,,,,
,,,,,| 强瑞技术 | **301128** |,,,,,,,,,,（今天）,,,,,说明：
```text,,,,,| 川环科技 | **300547** |,,,,,今天：,,,,,光纤上游原材料,,,,,
AI推理时代,,,,,| 淳中科技 | **603516** |,,,,,,,,,,```,,,,,资金开始交易：
,,,,,| 佳力图  | **603912** |,,,,,* 海欣股份4连板,,,,,,,,,,
↓,,,,,| 新朋股份 | **002328** |,,,,,* 海南海药2连板,,,,,今天：,,,,,下一代封装材料。
,,,,,,,,,,* 创新药ETF暴涨,,,,,,,,,,
流量爆发,,,,,AI算力基础设施方向。,,,,,,,,,,* 泰和新材14天7板,,,,,这是AI硬件新的扩散方向。
,,,,,,,,,,说明：,,,,,* 光电股份涨停,,,,,
↓,,,,,---,,,,,,,,,,* 宏柏新材连板,,,,,---
,,,,,,,,,,机构资金开始重新配置医药成长。,,,,,,,,,,
光网络升级,,,,,# 二、今日盘面分析,,,,,,,,,,说明资金已经开始深挖产业链。,,,,,# ④ 先进封装热度仍在
,,,,,,,,,,### 创新药成为今天最强增量方向,,,,,,,,,,
↓,,,,,---,,,,,,,,,,这往往是主升浪后期的重要特征。,,,,,连续几天：
,,,,,,,,,,这是本周最大变化。,,,,,,,,,,
光纤需求增加,,,,,# ① AI算力主线彻底升级（★★★★★）,,,,,,,,,,---,,,,,* 长电科技
